input_location,latitude,longitude,bbl,fireBattalion,censusTract2010
150-35 115 AVE,40.6849655914639,-73.79253494952006,4121850046,50, 272  
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  
393 E 149 ST,40.81621545706605,-73.91821094480296,2023280025,14,  65  
85-41 ETON ST,40.71673091096505,-73.77928000170948,4099570005,50, 472  
1111 PARK AVE,40.7824729902674,-73.95551347579014,1015180069,10, 14802
1111 PARK AVE,40.7824729902674,-73.95551347579014,1015180069,10, 14802
3224 SCHLEY AVE,40.82735070635217,-73.81409638913466,2054900095,20, 160  
204 E 13 ST,40.73242771210376,-73.98728828641892,1004680011,06,  40  
3339 FISH AVE,40.87456150301921,-73.84918713449802,2047350017,15, 364  
1188 FULTON ST,40.680611436896974,-73.95310090932318,3018600006,57, 247  
40-20 249 STREET,40.77262494674396,-73.74216398068769,4081240054,53,1479  
3339 FISH AVE,40.87456150301921,-73.84918713449802,2047350017,15, 364  
188 FULTON ST,40.69875262442674,-73.99141319840373,NA,32,   1  
1357 EASTERN PKWY,40.66841422652508,-73.92346766690771,3013930053,38, 359  
1357 EASTERN PKWY,40.66841422652508,-73.92346766690771,3013930053,38, 359  
372 TEN EYCK ST,40.71191494063576,-73.9349784692916,3030290038,28, 485  
601 VANSINDEREN AVE,40.66182513311628,-73.89990251641406,3038330006,44,1132  
372 TEN EYCK ST,40.71191494063576,-73.9349784692916,3030290038,28, 485  
108-55 67 DR,40.72775054289607,-73.84646344602908,4021770036,50, 741  
349 CLIFTON PL,40.68934927143289,-73.94951052222218,3017890069,57, 251  
349 CLIFTON PL,40.68934927143289,-73.94951052222218,3017890069,57, 251  
3044 AVE V,40.59880624641207,-73.93678468224755,3073890001,33, 572  
527 GRAND ST,40.71455588838549,-73.9819998742663,1002880036,04,   202
100 ASCH LOOP,40.87078917574718,-73.82688307566895,2051410120,15, 46201
113-01 203 ST,40.70185468191065,-73.75250362244064,4109980022,54, 518  
113-01 203 ST,40.70185468191065,-73.75250362244064,4109980022,54, 518  
150-08 LIBERTY AVE,40.67296467919605,-73.90458310294683,3036950013,44, 908  
150-10 LIBERTY AVE,40.67296467919605,-73.90458310294683,3036950013,44, 908  
151 89 ST,40.62228057785891,-74.03574875603945,3060600051,42,  50  
151 89 ST,40.62228057785891,-74.03574875603945,3060600051,42,  50  
1040 METROPOLITAN AVE,40.71442904365527,-73.93480286951326,3029250001,28, 449  
421 E 168 ST,40.832004175871134,-73.90870942639503,2023950001,17, 145  
421 E 168 ST,40.832004175871134,-73.90870942639503,2023950001,17, 145  
119-05 89 AVE,40.69738865321592,-73.82942499975466,4093290052,50, 144  
119-05 89 AVE,40.69738865321592,-73.82942499975466,4093290052,50, 144  
90-10 149 ST,40.819383035875966,-73.93107267099008,2023490112,14,  63  
110-10 164 ST,40.69350172186867,-73.78794665804821,4101900007,50, 264  
110-10 164 ST,40.69350172186867,-73.78794665804821,4101900007,50, 264  
107-39 159 ST,40.695981128811326,-73.79448050032866,4101250033,50, 254  
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  
HENRY ST,NA,NA,NA,NA,NA
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  
HENRY ST,NA,NA,NA,NA,NA
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  
189 BOWERY,40.72074107630252,-73.99386351598808,1004250004,02,  18  
224-10 59 AVE,40.75119926658319,-73.75338862881657,4075220016,53,138501
224-10 59 AVE,40.75119926658319,-73.75338862881657,4075220016,53,138501
393 TOMPKINS AVE,40.68414815518148,-73.94406280005191,NA,57, 267  
393 TOMPKINS AVE,40.68414815518148,-73.94406280005191,NA,57, 267  
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  
1500 NOBLE AVE,40.83724680170865,-73.87149718589308,2038950001,20, 218  
1500 NOBLE AVE,40.83724680170865,-73.87149718589308,2038950001,20, 218  
136-71 ROOSEVELT AVE,40.76020529031822,-73.8276072710635,4049800056,52, 871  
136-71 ROOSEVELT AVE,40.76020529031822,-73.8276072710635,4049800056,52, 871  
85 ELLWOOD ST,40.86131551338208,-73.92910230908328,1021740111,13, 285  
611 E 21 ST,40.63901887763546,-73.95785027702586,3052070056,41, 51601
611 E 21 ST,40.63901887763546,-73.95785027702586,3052070056,41, 51601
35 HOLLAND AVE,40.639752701144104,-74.1712600071286,5012720011,22, 31902
227 KENT AVE,40.716813798048364,-73.96546311721224,3023780006,35, 555  
227 KENT AVE,40.716813798048364,-73.96546311721224,3023780006,35, 555  
150-08 87 RD,40.70749972996189,-73.80644864115986,4097060003,50, 236  
150-08 87 RD,40.70749972996189,-73.80644864115986,4097060003,50, 236  
