input_location,latitude,longitude,bbl,fireBattalion,censusTract2010,communityDistrict,report_date,borough,case_type,cases,individuals
1015 E 179 ST,40.84188304773383,-73.87952247990813,2031320001,18, 361  ,206,12/31/2019,Bronx,ADULT FAMILY,84,181
1015 E 179 ST,40.84188304773383,-73.87952247990813,2031320001,18, 361  ,206,12/31/2019,Bronx,FAMILY WITH CHILDREN,370,1196
1015 E 179 ST,40.84188304773383,-73.87952247990813,2031320001,18, 361  ,206,12/31/2019,Bronx,SINGLE ADULT,254,254
150-35 115 AVE,40.6849655914639,-73.79253494952006,4121850046,50, 272  ,412,12/31/2019,Queens,ADULT FAMILY,92,194
150-35 115 AVE,40.6849655914639,-73.79253494952006,4121850046,50, 272  ,412,12/31/2019,Queens,FAMILY WITH CHILDREN,386,1209
150-35 115 AVE,40.6849655914639,-73.79253494952006,4121850046,50, 272  ,412,12/31/2019,Queens,SINGLE ADULT,424,424
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,ADULT FAMILY,15,31
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,FAMILY WITH CHILDREN,53,160
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,SINGLE ADULT,63,63
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,ADULT FAMILY,15,31
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,FAMILY WITH CHILDREN,53,160
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,SINGLE ADULT,63,63
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,ADULT FAMILY,15,31
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,FAMILY WITH CHILDREN,53,160
IFO 85-15 165 AVE,40.64811388721058,-73.8445926252992,4140790030,51, 892  ,410,12/31/2019,Queens,SINGLE ADULT,63,63
393 E 149 ST,40.81621545706605,-73.91821094480296,2023280025,14,  65  ,201,12/31/2019,Bronx,ADULT FAMILY,80,172
393 E 149 ST,40.81621545706605,-73.91821094480296,2023280025,14,  65  ,201,12/31/2019,Bronx,FAMILY WITH CHILDREN,495,1531
393 E 149 ST,40.81621545706605,-73.91821094480296,2023280025,14,  65  ,201,12/31/2019,Bronx,SINGLE ADULT,323,323
85-41 ETON ST,40.71673091096505,-73.77928000170948,4099570005,50, 472  ,408,12/31/2019,Queens,ADULT FAMILY,9,18
85-41 ETON ST,40.71673091096505,-73.77928000170948,4099570005,50, 472  ,408,12/31/2019,Queens,FAMILY WITH CHILDREN,56,173
85-41 ETON ST,40.71673091096505,-73.77928000170948,4099570005,50, 472  ,408,12/31/2019,Queens,SINGLE ADULT,107,107
1111 PARK AVE,40.7824729902674,-73.95551347579014,1015180069,10, 14802,108,12/31/2019,Manhattan,ADULT FAMILY,8,16
1111 PARK AVE,40.7824729902674,-73.95551347579014,1015180069,10, 14802,108,12/31/2019,Manhattan,FAMILY WITH CHILDREN,16,55
1111 PARK AVE,40.7824729902674,-73.95551347579014,1015180069,10, 14802,108,12/31/2019,Manhattan,SINGLE ADULT,61,61
1111 PARK AVE,40.7824729902674,-73.95551347579014,1015180069,10, 14802,108,12/31/2019,Manhattan,ADULT FAMILY,8,16
1111 PARK AVE,40.7824729902674,-73.95551347579014,1015180069,10, 14802,108,12/31/2019,Manhattan,FAMILY WITH CHILDREN,16,55
1111 PARK AVE,40.7824729902674,-73.95551347579014,1015180069,10, 14802,108,12/31/2019,Manhattan,SINGLE ADULT,61,61
3224 SCHLEY AVE,40.82735070635217,-73.81409638913466,2054900095,20, 160  ,210,12/31/2019,Bronx,ADULT FAMILY,22,45
3224 SCHLEY AVE,40.82735070635217,-73.81409638913466,2054900095,20, 160  ,210,12/31/2019,Bronx,FAMILY WITH CHILDREN,130,415
3224 SCHLEY AVE,40.82735070635217,-73.81409638913466,2054900095,20, 160  ,210,12/31/2019,Bronx,SINGLE ADULT,94,94
204 E 13 ST,40.73242771210376,-73.98728828641892,1004680011,06,  40  ,103,12/31/2019,Manhattan,ADULT FAMILY,45,93
204 E 13 ST,40.73242771210376,-73.98728828641892,1004680011,06,  40  ,103,12/31/2019,Manhattan,FAMILY WITH CHILDREN,111,336
204 E 13 ST,40.73242771210376,-73.98728828641892,1004680011,06,  40  ,103,12/31/2019,Manhattan,SINGLE ADULT,186,186
3339 FISH AVE,40.87456150301921,-73.84918713449802,2047350017,15, 364  ,212,12/31/2019,Bronx,ADULT FAMILY,87,185
3339 FISH AVE,40.87456150301921,-73.84918713449802,2047350017,15, 364  ,212,12/31/2019,Bronx,FAMILY WITH CHILDREN,427,1386
3339 FISH AVE,40.87456150301921,-73.84918713449802,2047350017,15, 364  ,212,12/31/2019,Bronx,SINGLE ADULT,340,340
1188 FULTON ST,40.680611436896974,-73.95310090932318,3018600006,57, 247  ,303,12/31/2019,Brooklyn,ADULT FAMILY,69,144
1188 FULTON ST,40.680611436896974,-73.95310090932318,3018600006,57, 247  ,303,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,362,1128
1188 FULTON ST,40.680611436896974,-73.95310090932318,3018600006,57, 247  ,303,12/31/2019,Brooklyn,SINGLE ADULT,487,487
40-20 249 STREET,40.77262494674396,-73.74216398068769,4081240054,53,1479  ,411,12/31/2019,Queens,ADULT FAMILY,2,4
