"","case_type","communityDistrict","homeless","fires","hf_rate"
"1","ADULT FAMILY","101",59,25,2.36
"2","ADULT FAMILY","102",0,31,0
"3","ADULT FAMILY","103",93,62,1.5
"4","ADULT FAMILY","104",29,23,1.26086956521739
"5","ADULT FAMILY","105",8,74,0.108108108108108
"6","ADULT FAMILY","106",2,37,0.0540540540540541
"7","ADULT FAMILY","107",28,43,0.651162790697674
"8","ADULT FAMILY","108",16,52,0.307692307692308
"9","ADULT FAMILY","109",66,14,4.71428571428571
"10","ADULT FAMILY","110",165,44,3.75
"11","ADULT FAMILY","111",120,42,2.85714285714286
"12","ADULT FAMILY","112",56,58,0.96551724137931
"13","ADULT FAMILY","201",172,44,3.90909090909091
"14","ADULT FAMILY","202",79,23,3.43478260869565
"15","ADULT FAMILY","203",164,39,4.20512820512821
"16","ADULT FAMILY","204",146,53,2.75471698113208
"17","ADULT FAMILY","205",177,67,2.64179104477612
"18","ADULT FAMILY","206",181,66,2.74242424242424
"19","ADULT FAMILY","207",117,48,2.4375
"20","ADULT FAMILY","208",26,26,1
"21","ADULT FAMILY","209",169,56,3.01785714285714
"22","ADULT FAMILY","210",45,45,1
"23","ADULT FAMILY","211",79,27,2.92592592592593
"24","ADULT FAMILY","212",185,72,2.56944444444444
"25","ADULT FAMILY","301",37,64,0.578125
"26","ADULT FAMILY","302",30,34,0.882352941176471
"27","ADULT FAMILY","303",144,74,1.94594594594595
"28","ADULT FAMILY","304",87,32,2.71875
"29","ADULT FAMILY","305",247,119,2.07563025210084
"30","ADULT FAMILY","306",30,36,0.833333333333333
"31","ADULT FAMILY","307",25,44,0.568181818181818
"32","ADULT FAMILY","308",46,44,1.04545454545455
"33","ADULT FAMILY","309",58,30,1.93333333333333
"34","ADULT FAMILY","310",13,40,0.325
"35","ADULT FAMILY","311",32,39,0.82051282051282
"36","ADULT FAMILY","312",35,60,0.583333333333333
"37","ADULT FAMILY","313",61,31,1.96774193548387
"38","ADULT FAMILY","314",53,40,1.325
"39","ADULT FAMILY","315",32,21,1.52380952380952
"40","ADULT FAMILY","316",136,40,3.4
"41","ADULT FAMILY","317",103,53,1.94339622641509
"42","ADULT FAMILY","318",80,74,1.08108108108108
"43","ADULT FAMILY","401",39,27,1.44444444444444
"44","ADULT FAMILY","402",42,21,2
"45","ADULT FAMILY","403",23,31,0.741935483870968
"46","ADULT FAMILY","404",18,28,0.642857142857143
"47","ADULT FAMILY","405",42,34,1.23529411764706
"48","ADULT FAMILY","406",10,14,0.714285714285714
"49","ADULT FAMILY","407",19,28,0.678571428571429
"50","ADULT FAMILY","408",18,35,0.514285714285714
"51","ADULT FAMILY","409",24,50,0.48
"52","ADULT FAMILY","410",31,26,1.19230769230769
"53","ADULT FAMILY","411",4,26,0.153846153846154
"54","ADULT FAMILY","412",194,113,1.71681415929204
"55","ADULT FAMILY","413",70,84,0.833333333333333
"56","ADULT FAMILY","414",96,39,2.46153846153846
"57","ADULT FAMILY","501",110,67,1.64179104477612
"58","ADULT FAMILY","502",19,18,1.05555555555556
"59","ADULT FAMILY","503",12,39,0.307692307692308
"60","FAMILY WITH CHILDREN","101",296,25,11.84
"61","FAMILY WITH CHILDREN","102",22,31,0.709677419354839
"62","FAMILY WITH CHILDREN","103",336,62,5.41935483870968
"63","FAMILY WITH CHILDREN","104",126,23,5.47826086956522
"64","FAMILY WITH CHILDREN","105",58,74,0.783783783783784
"65","FAMILY WITH CHILDREN","106",28,37,0.756756756756757
"66","FAMILY WITH CHILDREN","107",170,43,3.95348837209302
"67","FAMILY WITH CHILDREN","108",55,52,1.05769230769231
"68","FAMILY WITH CHILDREN","109",444,14,31.7142857142857
"69","FAMILY WITH CHILDREN","110",882,44,20.0454545454545
"70","FAMILY WITH CHILDREN","111",843,42,20.0714285714286
"71","FAMILY WITH CHILDREN","112",458,58,7.89655172413793
"72","FAMILY WITH CHILDREN","201",1531,44,34.7954545454545
"73","FAMILY WITH CHILDREN","202",801,23,34.8260869565217
"74","FAMILY WITH CHILDREN","203",1478,39,37.8974358974359
"75","FAMILY WITH CHILDREN","204",1708,53,32.2264150943396
"76","FAMILY WITH CHILDREN","205",1549,67,23.1194029850746
"77","FAMILY WITH CHILDREN","206",1196,66,18.1212121212121
"78","FAMILY WITH CHILDREN","207",988,48,20.5833333333333
"79","FAMILY WITH CHILDREN","208",233,26,8.96153846153846
"80","FAMILY WITH CHILDREN","209",1467,56,26.1964285714286
"81","FAMILY WITH CHILDREN","210",415,45,9.22222222222222
"82","FAMILY WITH CHILDREN","211",553,27,20.4814814814815
"83","FAMILY WITH CHILDREN","212",1386,72,19.25
"84","FAMILY WITH CHILDREN","301",299,64,4.671875
"85","FAMILY WITH CHILDREN","302",230,34,6.76470588235294
"86","FAMILY WITH CHILDREN","303",1128,74,15.2432432432432
"87","FAMILY WITH CHILDREN","304",457,32,14.28125
"88","FAMILY WITH CHILDREN","305",1835,119,15.4201680672269
"89","FAMILY WITH CHILDREN","306",157,36,4.36111111111111
"90","FAMILY WITH CHILDREN","307",127,44,2.88636363636364
"91","FAMILY WITH CHILDREN","308",455,44,10.3409090909091
"92","FAMILY WITH CHILDREN","309",355,30,11.8333333333333
"93","FAMILY WITH CHILDREN","310",69,40,1.725
"94","FAMILY WITH CHILDREN","311",134,39,3.43589743589744
"95","FAMILY WITH CHILDREN","312",69,60,1.15
"96","FAMILY WITH CHILDREN","313",296,31,9.54838709677419
"97","FAMILY WITH CHILDREN","314",302,40,7.55
"98","FAMILY WITH CHILDREN","315",89,21,4.23809523809524
"99","FAMILY WITH CHILDREN","316",1096,40,27.4
"100","FAMILY WITH CHILDREN","317",860,53,16.2264150943396
"101","FAMILY WITH CHILDREN","318",547,74,7.39189189189189
"102","FAMILY WITH CHILDREN","401",223,27,8.25925925925926
"103","FAMILY WITH CHILDREN","402",104,21,4.95238095238095
"104","FAMILY WITH CHILDREN","403",161,31,5.19354838709677
"105","FAMILY WITH CHILDREN","404",154,28,5.5
"106","FAMILY WITH CHILDREN","405",108,34,3.17647058823529
"107","FAMILY WITH CHILDREN","406",35,14,2.5
"108","FAMILY WITH CHILDREN","407",141,28,5.03571428571429
"109","FAMILY WITH CHILDREN","408",173,35,4.94285714285714
"110","FAMILY WITH CHILDREN","409",197,50,3.94
"111","FAMILY WITH CHILDREN","410",160,26,6.15384615384615
"112","FAMILY WITH CHILDREN","411",15,26,0.576923076923077
"113","FAMILY WITH CHILDREN","412",1209,113,10.6991150442478
"114","FAMILY WITH CHILDREN","413",470,84,5.59523809523809
"115","FAMILY WITH CHILDREN","414",740,39,18.974358974359
"116","FAMILY WITH CHILDREN","501",677,67,10.1044776119403
"117","FAMILY WITH CHILDREN","502",54,18,3
"118","FAMILY WITH CHILDREN","503",37,39,0.948717948717949
"119","SINGLE ADULT","101",120,25,4.8
"120","SINGLE ADULT","102",24,31,0.774193548387097
"121","SINGLE ADULT","103",186,62,3
"122","SINGLE ADULT","104",152,23,6.60869565217391
"123","SINGLE ADULT","105",60,74,0.810810810810811
"124","SINGLE ADULT","106",98,37,2.64864864864865
"125","SINGLE ADULT","107",131,43,3.04651162790698
"126","SINGLE ADULT","108",61,52,1.17307692307692
"127","SINGLE ADULT","109",199,14,14.2142857142857
"128","SINGLE ADULT","110",397,44,9.02272727272727
"129","SINGLE ADULT","111",399,42,9.5
"130","SINGLE ADULT","112",217,58,3.74137931034483
"131","SINGLE ADULT","201",323,44,7.34090909090909
"132","SINGLE ADULT","202",151,23,6.56521739130435
"133","SINGLE ADULT","203",288,39,7.38461538461539
"134","SINGLE ADULT","204",359,53,6.77358490566038
"135","SINGLE ADULT","205",303,67,4.52238805970149
"136","SINGLE ADULT","206",254,66,3.84848484848485
"137","SINGLE ADULT","207",265,48,5.52083333333333
"138","SINGLE ADULT","208",72,26,2.76923076923077
"139","SINGLE ADULT","209",304,56,5.42857142857143
"140","SINGLE ADULT","210",94,45,2.08888888888889
"141","SINGLE ADULT","211",169,27,6.25925925925926
"142","SINGLE ADULT","212",340,72,4.72222222222222
"143","SINGLE ADULT","301",130,64,2.03125
"144","SINGLE ADULT","302",180,34,5.29411764705882
"145","SINGLE ADULT","303",487,74,6.58108108108108
"146","SINGLE ADULT","304",204,32,6.375
"147","SINGLE ADULT","305",571,119,4.79831932773109
"148","SINGLE ADULT","306",64,36,1.77777777777778
"149","SINGLE ADULT","307",67,44,1.52272727272727
"150","SINGLE ADULT","308",243,44,5.52272727272727
"151","SINGLE ADULT","309",190,30,6.33333333333333
"152","SINGLE ADULT","310",40,40,1
"153","SINGLE ADULT","311",46,39,1.17948717948718
"154","SINGLE ADULT","312",55,60,0.916666666666667
"155","SINGLE ADULT","313",100,31,3.2258064516129
"156","SINGLE ADULT","314",163,40,4.075
"157","SINGLE ADULT","315",57,21,2.71428571428571
"158","SINGLE ADULT","316",339,40,8.475
"159","SINGLE ADULT","317",307,53,5.79245283018868
