text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"BX ALL HANDS 1015 E 179 ST, MULTIPLE DWELLING FIRE 4TH FLR, UNDER CONTROL",FALSE,9,NA,2020-03-01T18:25:08Z,FALSE,NA,1234182902319079424,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"QNS ALL HANDS 150-35 115 AVE, PRIVATE DWELLING FIRE 2ND FL, UNDER CONTROL",FALSE,10,NA,2020-03-01T03:39:42Z,FALSE,NA,1233960075523432449,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,0,FALSE,FALSE,NA,NA
"QNS 2-ALARM IFO 85-15 165 AVE, BRUSH FIRE (GATEWAY PARK) UNDER CONTROL",FALSE,19,NA,2020-02-29T22:05:04Z,FALSE,NA,1233875863797719042,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"QNS 2-ALARM IFO 85-15 165 AVE, BRUSH FIRE (GATEWAY PARK)",FALSE,11,NA,2020-02-29T20:45:29Z,FALSE,NA,1233855835715055617,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"QNS ALL HANDS IFO 85-15 165 AVE, BRUSH FIRE (GATEWAY PARK)",FALSE,11,NA,2020-02-29T20:17:11Z,FALSE,NA,1233848711815495681,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BX ALL HANDS 393 E 149 ST, MULTIPLE DWELLING FIRE ON 1ST FLR,",FALSE,3,NA,2020-02-29T17:14:11Z,FALSE,NA,1233802658588381185,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"QNS ALL HANDS 85-41 ETON ST, PRIVATE DWELLING FIRE,",FALSE,6,NA,2020-02-29T12:01:04Z,FALSE,NA,1233723859788062720,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"MAN ALL HANDS 1111 PARK AVE, MULTIPLE DWELLING FIRE 4TH FLR, UNDER CONTROL",FALSE,12,NA,2020-02-29T11:18:29Z,FALSE,NA,1233713143345446913,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"MAN ALL HANDS 1111 PARK AVE, MULTIPLE DWELLING FIRE 4TH FLR,",FALSE,9,NA,2020-02-29T10:41:48Z,FALSE,NA,1233703913339129861,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BX ALL HANDS 3224 SCHLEY AVE, PRIVATE DWELLING FIRE ON 1ST FLR,",FALSE,8,NA,2020-02-29T07:26:08Z,FALSE,NA,1233654672382029832,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"MAN ALL HANDS 204 E 13 ST, MULTIPLE DWELLING FIRE ON 3RD FLR,",FALSE,11,NA,2020-02-29T06:26:30Z,FALSE,NA,1233639663937753089,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BX ALL HANDS 3339 FISH AVE, PRIVATE DWELLING FIRE 2RD FLR, UNDER CONTROL",FALSE,9,NA,2020-02-29T06:23:02Z,FALSE,NA,1233638791598026753,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 1188 FULTON ST, COMMERCIAL FIRE STORE, UNDER CONTROL",FALSE,7,NA,2020-02-29T05:58:13Z,FALSE,NA,1233632545595699201,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS 40-20 249 STREET, PRIVATE DWELLING FIRE IN BASEMENT, UNDER CONTROL",FALSE,6,NA,2020-02-29T05:56:57Z,FALSE,NA,1233632227910733824,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BX ALL HANDS 3339 FISH AVE, PRIVATE DWELLING FIRE 2RD FLR,",FALSE,7,NA,2020-02-29T05:44:14Z,FALSE,NA,1233629029342814208,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 188 FULTON ST, COMMERCIAL FIRE STORE,",FALSE,5,NA,2020-02-29T05:43:39Z,FALSE,NA,1233628878666653697,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 1357 EASTERN PKWY, MULTIPLE DWELLING FIRE IN APT 1A, UNDER CONTROL",FALSE,12,NA,2020-02-29T00:18:55Z,FALSE,NA,1233547158613319681,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 1357 EASTERN PKWY, FIRE IN APT 1A,",FALSE,12,NA,2020-02-28T23:38:02Z,FALSE,NA,1233536868693749760,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN 2-ALARM 372 TEN EYCK ST, COMMERCIAL FIRE ON 1ST FLR, UNDER CONTROL",FALSE,11,NA,2020-02-28T20:42:42Z,FALSE,NA,1233492745567834113,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 601 VANSINDEREN AVE, COMMERCIAL RUBBISH FIRE IN REAR OF FACTORY,",FALSE,8,NA,2020-02-28T17:48:12Z,FALSE,NA,1233448832358375425,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN 2-ALARM 372 TEN EYCK ST, COMMERCIAL FIRE ON 1ST FLR,",FALSE,14,NA,2020-02-28T17:31:19Z,FALSE,NA,1233444582127472642,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS 108-55 67 DR, PRIVATE DWELLING FIRE ON ROOF, UNDER CONTROL",FALSE,12,NA,2020-02-28T11:32:44Z,FALSE,NA,1233354343149178880,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 349 CLIFTON PL, MULTIPLE DWELLING FIRE ON THE TOP FLR, UNDER CONTROL",FALSE,14,NA,2020-02-28T09:50:26Z,FALSE,NA,1233328598137876480,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 349 CLIFTON PL, MULTIPLE DWELLING FIRE ON THE TOP FLR,",FALSE,8,NA,2020-02-28T09:40:17Z,FALSE,NA,1233326043211214849,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 3044 AVE V, MULTIPLE DWELLING FRE ON THE 2ND FLR, UNDER CONTROL",FALSE,12,NA,2020-02-28T00:53:31Z,FALSE,NA,1233193477942411265,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 527 GRAND ST, SCAFFOLDING COLLAPSE, UNDER CONTROL",FALSE,13,NA,2020-02-27T23:55:24Z,FALSE,NA,1233178852723027968,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BX ALL HANDS 100 ASCH LOOP, MULTIPLE DWELLING FIRE ON 22ND FLR,",FALSE,10,NA,2020-02-27T03:34:01Z,FALSE,NA,1232871479798325249,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS 113-01 203 ST, PRIVATE DWELLING FIRE ON THE 2ND AND 3RD FLR, UNDER CONTROL",FALSE,13,NA,2020-02-26T22:06:37Z,FALSE,NA,1232789089839124486,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"QNS ALL HANDS 113-01 203 ST, PRIVATE DWELLING FIRE ON THE 3RD FLR,",FALSE,10,NA,2020-02-26T21:26:45Z,FALSE,NA,1232779055730241541,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"QNS ALL HANDS 150-08 LIBERTY AVE, COMMERCIAL FIRE IN THE BASEMENT, UNDER CONTROL",FALSE,12,NA,2020-02-26T16:36:59Z,FALSE,NA,1232706135389540352,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"QNS ALL HANDS 150-10 LIBERTY AVE, COMMERCIAL FIRE IN THE BASEMENT,",FALSE,10,NA,2020-02-26T15:59:58Z,FALSE,NA,1232696817038524416,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 151 89 ST, MULTIPLE DWELLING FIRE IN BASEMENT LAUNDRY ROOM, UNDER CONTROL",FALSE,15,NA,2020-02-25T16:47:15Z,FALSE,NA,1232346328333737986,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 151 89 ST, FIRE IN BASEMENT LAUNDRY ROOM,",FALSE,10,NA,2020-02-25T16:40:17Z,FALSE,NA,1232344577014718464,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 1040 METROPOLITAN AVE, MULTIPLE DWELLING FIRE IN THE ELEVATOR SHAFT,",FALSE,11,NA,2020-02-24T19:05:45Z,FALSE,NA,1232018798099730432,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BX ALL HANDS 421 E 168 ST, MULTIPLE DWELLING RUBBISH FIIRE IN THE REAR WITH EXTENSION TO THE 2ND FLR, UNDER CONTROL",FALSE,11,NA,2020-02-23T21:58:49Z,FALSE,NA,1231699960149790720,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
